FeatureID,FeatureName,Group1-Region1 Average,Group1-Region1 Log2 Fold Change,Group1-Region1 P-Value,Group2-Region1 Average,Group2-Region1 Log2 Fold Change,Group2-Region1 P-Value,Group1-Region2 Average,Group1-Region2 Log2 Fold Change,Group1-Region2 P-Value,Group2-Region2 Average,Group2-Region2 Log2 Fold Change,Group2-Region2 P-Value
ExampleGeneEnsembl-1,ExGene1,0.695714968,0.130223256,0.500750028,0.142072575,0.705564758,0.295981839,0.482765645,0.326939233,0.200225125,0.380769393,0.88258703,0.019130408
ExampleGeneEnsembl-2,ExGene2,0.878079061,0.141852634,0.723414876,0.513035341,0.643896724,0.466111006,0.460025297,0.373069783,0.680690719,0.101381661,0.316352812,0.900925692
ExampleGeneEnsembl-3,ExGene3,0.805168982,0.194386447,0.537355546,0.961403646,0.794733749,0.994076393,0.648782173,0.505990823,0.44823388,0.7665895,0.565554248,0.190713336
ExampleGeneEnsembl-4,ExGene4,0.582323894,0.716704032,0.442453854,0.053923397,0.767118441,0.832691005,0.405475118,0.409112974,0.133973193,0.614060664,0.377579192,0.386399033
ExampleGeneEnsembl-5,ExGene5,0.125376827,0.210566738,0.877905203,0.536959724,0.905362058,0.683219202,0.163416105,0.682959254,0.60233243,0.240643668,0.512608017,0.963293133
ExampleGeneEnsembl-6,ExGene6,0.935934581,0.283473433,0.315610012,0.157185671,0.744318578,0.078898621,0.476181905,0.200105013,0.559054133,0.829868738,0.480320339,0.201259877
ExampleGeneEnsembl-7,ExGene7,0.333363788,0.861912194,0.460780515,0.799350462,0.390722825,0.558173871,0.037991999,0.592307864,0.674905117,0.705925414,0.352573071,0.497538103
ExampleGeneEnsembl-8,ExGene8,0.710759702,0.897024049,0.101790017,0.611637174,0.140362856,0.814667147,0.496320844,0.038946301,0.278595068,0.376029801,0.410840185,0.954089346
ExampleGeneEnsembl-9,ExGene9,0.314780728,0.399859785,0.276282132,0.047338618,0.512699787,0.393388087,0.735911483,0.599976683,0.137710333,0.185667212,0.719566141,0.534260616
ExampleGeneEnsembl-10,ExGene10,0.892070398,0.345642848,0.617263823,0.215667927,0.219952238,0.716660034,0.161791799,0.005860719,0.385789452,0.416655068,0.36829294,0.656005446
ExampleGeneEnsembl-11,ExGene11,0.671209041,0.697582703,0.842368106,0.158432122,0.621084941,0.487705218,0.057166823,0.337414852,0.448668999,0.242570163,0.435484879,0.066484684
ExampleGeneEnsembl-12,ExGene12,0.44212598,0.448622145,0.109507406,0.703643551,0.635211975,0.587871666,0.913780611,0.163262033,0.890375054,0.693027969,0.41497223,0.50321032
ExampleGeneEnsembl-13,ExGene13,0.58235651,0.240427258,0.774607858,0.45552947,0.232056815,0.050275625,0.669011124,0.36525129,0.972099624,0.780513554,0.3800803,0.483213983
ExampleGeneEnsembl-14,ExGene14,0.664995754,0.434981946,0.082639473,0.338621102,0.787746713,0.503140736,0.182328458,0.309701392,0.733731864,0.23208724,0.713398213,0.238015034
ExampleGeneEnsembl-15,ExGene15,0.033162309,0.863827178,0.865642554,0.163956604,0.896570846,0.610172136,0.918134538,0.560490249,0.244525963,0.189381979,0.753126721,0.396556648
ExampleGeneEnsembl-16,ExGene16,0.046412833,0.807982027,0.624046708,0.210499066,0.181403976,0.601820646,0.245855629,0.704447449,0.622928088,0.821020643,0.404301127,0.923652224
ExampleGeneEnsembl-17,ExGene17,0.435592309,0.620789726,0.50926246,0.454108767,0.533275303,0.355638778,0.671576196,0.566088276,0.561767556,0.18160327,0.076755252,0.296953125
ExampleGeneEnsembl-18,ExGene18,0.081674661,0.165160035,0.424156735,0.978179531,0.514971842,0.489077734,0.096869967,0.084447141,0.162401762,0.597231908,0.174508073,0.012456064
ExampleGeneEnsembl-19,ExGene19,0.46603466,0.051253495,0.590190916,0.710970928,0.169061598,0.142128226,0.108029635,0.523192614,0.056481495,0.369627131,0.284266678,0.233987528
ExampleGeneEnsembl-20,ExGene20,0.19401523,0.726238585,0.09753188,0.927807796,0.270392642,0.970936032,0.281917504,0.095907381,0.081134175,0.910093352,0.303814606,0.960038752
ExampleGeneEnsembl-21,ExGene21,0.242328134,0.769138039,0.466143495,0.397771547,0.342593225,0.730484947,0.719529485,0.485800955,0.339268333,0.344717828,0.452411591,0.284516204
ExampleGeneEnsembl-22,ExGene22,0.959489967,0.237411646,0.223637367,0.525495242,0.848781135,0.464511733,0.267942125,0.630674721,0.036970096,0.498496082,0.774797855,0.374311684
ExampleGeneEnsembl-23,ExGene23,0.189153397,0.556789174,0.899612035,0.329171951,0.900830663,0.478730188,0.091880026,0.245774008,0.524059738,0.997512606,0.203557547,0.759264834
ExampleGeneEnsembl-24,ExGene24,0.408833784,0.689946854,0.664708512,0.284753344,0.341947469,0.874117757,0.958094907,0.321313776,0.215239849,0.071251537,0.347219007,0.761743196
ExampleGeneEnsembl-25,ExGene25,0.315329903,0.155074137,0.310967025,0.104764557,0.435460696,0.975442281,0.354372364,0.966324739,0.61448793,0.603837186,0.184379396,0.458223395
ExampleGeneEnsembl-26,ExGene26,0.838963787,0.169133332,0.300513736,0.633448512,0.618652699,0.090131815,0.677103009,0.891664235,0.160860362,0.017668415,0.575429106,0.945704141
ExampleGeneEnsembl-27,ExGene27,0.105582504,0.929160178,0.135189994,0.492596846,0.925405925,0.542049335,0.583564526,0.255018874,0.94374659,0.915696776,0.519703946,0.892765766
ExampleGeneEnsembl-28,ExGene28,0.842605669,0.212804813,0.158887,0.267755567,0.402438147,0.98575712,0.922774852,0.087233465,0.083131058,0.036204006,0.624998233,0.072855601
ExampleGeneEnsembl-29,ExGene29,0.45078479,0.841807109,0.724761195,0.281179118,0.355119681,0.418748818,0.551822191,0.984670118,0.875962369,0.983281305,0.990549544,0.66901547
ExampleGeneEnsembl-30,ExGene30,0.863335726,0.08049872,0.238871527,0.907628666,0.891643054,0.720951371,0.866281148,0.775522073,0.084984177,0.859890714,0.748835235,0.325282899
ExampleGeneEnsembl-31,ExGene31,0.358490431,0.265293619,0.908547489,0.918138469,0.971333517,0.434573213,0.870701551,0.938987251,0.258131639,0.385588607,0.153052968,0.030280298
ExampleGeneEnsembl-32,ExGene32,0.981998904,0.59535376,0.630333395,0.470596682,0.449457653,0.545237779,0.808806131,0.754088948,0.852456343,0.893278496,0.288014366,0.41098398
